time,start_time,open,high,low,close,tick_volume,real_volume,num_time_bars,duration_seconds
2021-09-20 17:00:00,2021-09-20 14:00:00,1.17129,1.17233,1.17034,1.1719,15744,0,7,10800.0
2021-09-20 21:30:00,2021-09-20 17:30:00,1.1719,1.17363,1.17171,1.17243,13602,0,9,14400.0
2021-09-21 08:30:00,2021-09-20 22:00:00,1.17243,1.17401,1.1722,1.17336,13544,0,22,37800.0
2021-09-21 12:30:00,2021-09-21 09:00:00,1.17336,1.17381,1.17183,1.17371,13412,0,8,12600.0
2021-09-21 16:30:00,2021-09-21 13:00:00,1.17371,1.17486,1.17282,1.17307,15157,0,8,12600.0
2021-09-21 20:30:00,2021-09-21 17:00:00,1.17307,1.17313,1.17149,1.17262,14452,0,8,12600.0
2021-09-22 04:30:00,2021-09-21 21:00:00,1.17263,1.17322,1.17166,1.17278,13271,0,16,27000.0
2021-09-22 11:30:00,2021-09-22 05:00:00,1.17278,1.17376,1.17167,1.17341,13732,0,14,23400.0
2021-09-22 17:00:00,2021-09-22 12:00:00,1.17342,1.17448,1.17242,1.17355,15179,0,11,18000.0
2021-09-22 21:00:00,2021-09-22 17:30:00,1.17354,1.17555,1.17054,1.17464,17712,0,8,12600.0
2021-09-22 22:00:00,2021-09-22 21:30:00,1.17465,1.1755200000000001,1.16843,1.17032,13575,0,2,1800.0
2021-09-23 06:30:00,2021-09-22 22:30:00,1.17032,1.17092,1.16835,1.17068,13301,0,17,28800.0
2021-09-23 11:00:00,2021-09-23 07:00:00,1.17068,1.17281,1.1705,1.17275,14281,0,9,14400.0
2021-09-23 14:00:00,2021-09-23 11:30:00,1.17276,1.17326,1.17113,1.17116,14321,0,6,9000.0
2021-09-23 17:00:00,2021-09-23 14:30:00,1.17115,1.17498,1.17115,1.17446,14616,0,6,9000.0
2021-09-23 21:30:00,2021-09-23 17:30:00,1.17446,1.1750099999999999,1.17306,1.1746699999999999,13248,0,9,14400.0
2021-09-24 07:30:00,2021-09-23 22:00:00,1.1746699999999999,1.17489,1.17341,1.17371,13309,0,20,34200.0
